69   1.04066   10    9  130    5
70   1.06339   10   10   16    5
71   1.08447   10   11  130    5
72   0.90552   10   12  130    5
73   0.98937   10   13  130    5
74   1.49578   10   14   30    5
75   1.54585   10   15    0    5
76   1.96313   10   16    5    5
77   1.43773   10   17   24    5
78   1.38077   10   18    0    5
79   1.37004   10   19   48    5
80   1.47683   10   20   60    5
81   1.18475   10   21   60    5
82   1.36440   10   22   78    5
83   1.31516   10   22    0    5
84   1.36547   10   22    0    5
69   1.22298   11   23   60   13
70   1.32236   11   24   90   13
71   1.46640   11   25  130   13
72   2.92750   11   26   90   13
73   1.53059   11   27   90   13
74   1.58433   11   28   90   13
75   1.32017   11   29    1   13
76   0.51578   11   30   30   13
77   1.51025   11   31   48   13
78   0.94935   11   32   48   13
79   1.17542   11   33   60   13
80   1.20993   11   34   60   13
81   1.14299   11   35   72   13
82   0.84950   11   36   96   13
83   1.31516   11   36   36   13
84   1.26476   11   36    0   13
69   0.77422   16    0    0   37
70   0.75666   16    1  130   37
71   1.03072   16    2  130   37
72   1.02182   16    3   30   37
73   1.28518   16    4   60   37
74   0.89886   16    5  130   37
75   1.02826   16    6    1   37
76   1.19588   16    7   27   37
77   1.46656   16    8   36   37
78   1.64887   16    9    3   37
79   1.50487   16   10    3   37
80   1.47156   16   11   14   37
81   1.74842   16   12    9   37
82   1.70861   16   13   19   37
83   1.77102   16   13   10   37
84   1.70341   16   13    2   37
69   1.12824   14   13  130   47
70   1.17064   14   14   30   47
71   0.91025   14   15  130   47
72   1.02773   14   16   60   47
73   1.08818   14   17   60   47
74   1.17501   14   18   60   47
75   1.20533   14   19    7   47
76   1.13993   14   20   96   47
77   1.08185   14   21  108   47
78   1.02528   14   22  120   47
79   1.06355   14   23  132   47
80   1.05120   14   24    1   47
81   0.94819   14   25   13   47
82   0.95658   14   26   24   47
83   1.01534   14   26   36   47
84   0.94666   14   26   31   47
69   0.73359   12   16   90   50
70   0.70402   12   17   90   50
71   0.79290   12   18  130   50
72   0.72319   12   19   90   50
73   0.73763   12   20   90   50
74   0.95534   12   21   90   50
75   0.95546   12   22   16   50
76   0.79789   12   23   24   50
77   1.05158   12   24   36   50
78   0.99315   12   25  240   50
79   0.99405   12   26  252   50
80   1.35285   12   27  264   50
81   1.14815   12   28   36   50
82   1.01413   12   29   60   50
83   0.93310   12   29   60   50
84   0.96470   12   29  314   50
69   0.81327   12    9   60   51
70   0.85430   12   10   60   51
71   0.84225   12   11  130   51
72   0.71919   12   12   60   51
73   0.85287   12   13   60   51
74   0.92898   12   14   60   51
75   0.82490   12   15    4   51
76   0.91629   12   16   60   51
77   0.81451   12   17   72   51
78   0.93647   12   18  156   51
79   1.11854   12   19  168   51
80   0.98301   12   20  180   51
81   0.86985   12   21  120   51
82   0.91482   12   22  204   51
83   0.82547   12   22  216   51
84   0.67488   12   22  227   51
69   1.14365   10   18   30   53
70   1.08824   10   19   30   53
71   1.23779   10   20  130   53
72   1.40629   10   21   60   53
73   1.42696   10   22   60   53
74   1.62509   10   23   60   53
75   0.52628   10   24    1   53
76   1.35830   10   25   21   53
77   1.36405   10   26   30   53
78   0.94935   10   27   48   53
79   1.30559   10   28   60   53
80   1.15640   10   29    7   53
81   1.13130   10   30   18   53
82   1.32907   10   31   32   53
83   1.32440   10   31   44   53
