lprn,lsf,unitsftc,bathstot,roomsn,sfan,sfdn,cencityn,urbsubn,urbann,riuraln,agelt5,age510,age1015,agegte30,inadeq,degreen,s87,s88,s89,s90,s91,s92,s93,verylg,large,siz1to3,small,prvlocn,firbuy,incbuy,incsell,qbusb,qbusn,agen,ageb,blkbuy,blksell,marbuy,marsell,sfbuy,sfsell,edubuy,edusell,kidbuy,kidsell,cenind,saltotbt,saltotnt
9.210441,6.39693,0,1,4,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,79,0,0,0,0,1,1,0,0,0,0,0,0,0
9.210441,6.638568,0,1,4,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,28000,25840,0,0,21,23,0,0,0,1,0,0,0,0,0,1,0,0,0
9.259226,6.907755,0,1,5,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30000,0,1,0,27,39,0,1,1,0,0,0,1,1,1,0,0,0,0
9.282754,7.279319,0,2,7,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,40000,12936,0,0,22,64,0,0,1,1,0,0,0,0,1,0,0,0,0
9.305741,7.426549,0,2,6,0,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,30500,0,0,0,46,70,0,0,1,1,0,0,1,0,0,0,0,0,0
9.305741,6.664409,0,1,4,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,14400,13920,0,0,22,25,0,0,0,1,0,0,0,1,0,1,0,0,0
9.350189,6.887553,0,1.5,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8000,11500,0,0,65,44,0,0,0,0,1,1,0,0,0,1,0,0,0
9.350189,7.377759,0,1.5,8,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,18000,25500,0,0,40,22,0,0,0,1,1,0,0,0,0,0,0,0,0
9.392745,7.843849,0,1.5,6,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,17000,0,0,0,23,82,1,1,1,1,0,0,0,0,0,0,0,0,0
9.461177,6.981006,0,1,3,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2500,0,0,0,57,75,0,0,1,1,0,0,0,0,0,0,0,0,0
