seqno,grade,sex,race,bilingual,bil,lunch,income,sn,sped,absent1,absent2,present1,present2,v15,v16,v17,passfail,sat_00_m,v19,v20,v21,sat_00_r,v23,v24,sat1m,sat_01_m,v27,v28,sat1r,sat_01_r,spr00plm,mcas00m,spr00ple,mcas00e,spr01plm,mcas01m,spr01ple,mcas01e,fa01plm,mcasfama,fa01ple,mcasfael,sch
1,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
2,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
3,11,M,Black,N,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,206,F,214,1080
4,11,M,Black,N,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,206,F,214,1080
5,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,25,1,0,664,9,35,2,686, , , , , , , , , , , , ,F,216,NI,226,F,218, , ,1080
6,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,25,1,0,664,9,35,2,686, , , , , , , , , , , , ,F,216,NI,226,F,218, , ,1080
7,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
8,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
9,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
10,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
11,11,F,White, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,1080
12,11,F,Black, ,No,AF,1, ,0, , , , ,9,64,2,1,700,9,40,2,691, , , , , , , , , , , , ,F,216,NI,224,F,218, , ,1080
13,11,F,White, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,1080
14,11,F,Black, ,No,AF,1, ,0, , , , ,9,64,2,1,700,9,40,2,691, , , , , , , , , , , , ,F,216,NI,224,F,218, , ,1080
15,11,F,White, ,No,O,3, ,0, , , , ,9,73,2,1,710,9,57,2,708, , , , , , , , , , , , ,NI,222,NI,230, , , , ,1080
16,11,F,White, ,No,O,3, ,0, , , , ,9,73,2,1,710,9,57,2,708, , , , , , , , , , , , ,NI,222,NI,230, , , , ,1080
17,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
18,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
19,11,F,Hispanic, ,No,O,3, ,0, , , , ,9,96,3,1,758,9,73,3,725,10,85,2,739, , , , , , , , ,P,250,P,246, , , , ,1080
20,11,F,Hispanic, ,No,O,3, ,0, , , , ,9,96,3,1,758,9,73,3,725,10,85,2,739, , , , , , , , ,P,250,P,246, , , , ,1080
21,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,INC, ,F,210,F,216,1080
22,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,INC, ,F,210,F,216,1080
23,11,M,Black, ,No,O,3, ,0, , , , ,9,71,2,1,707,9,47,2,698, , , , , , , , , , , , ,NI,232,NI,234, , , , ,1080
24,11,M,Black, ,No,O,3, ,0, , , , ,9,71,2,1,707,9,47,2,698, , , , , , , , , , , , ,NI,232,NI,234, , , , ,1080
25,11,M,Black, ,No,AR,2, ,0, , , , ,9,76,2,1,714,9,27,2,677, , , , , , , , , , , , ,F,218,F,218,NI,230,F,218,1080
26,11,M,Black, ,No,AR,2, ,0, , , , ,9,76,2,1,714,9,27,2,677, , , , , , , , , , , , ,F,218,F,218,NI,230,F,218,1080
27,11,F,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,F,214,F,210,NI,224,1080
28,11,F,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,F,214,F,210,NI,224,1080
29,11,M,Hispanic, ,No,AF,1,M4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
30,11,M,Hispanic, ,No,AF,1,M4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
31,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
32,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
33,11,M,Black, ,No,O,3,B4,4, , , , , , , , , , , , , , , , , , , , , , , , , ,F,210,F,214,F,208,F,212,1080
34,11,M,Black, ,No,O,3,B4,4, , , , , , , , , , , , , , , , , , , , , , , , , ,F,210,F,214,F,208,F,212,1080
35,11,M,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,NI,232,NI,220, , , , ,1080
36,11,M,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,NI,232,NI,220, , , , ,1080
37,11,M,Black, ,No,O,3, ,0, , , , ,9,47,1,0,684,9, , , , , , , , , , , , , , , ,F,218,NI,222,F,212, , ,1080
38,11,M,Black, ,No,O,3, ,0, , , , ,9,47,1,0,684,9, , , , , , , , , , , , , , , ,F,218,NI,222,F,212, , ,1080
39,11,F,Hispanic,S,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,LEP, ,F,216,NI,220,1080
40,11,F,Hispanic,S,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,LEP, ,F,216,NI,220,1080
41,11,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,F,218,F,214,1080
42,11,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,F,218,F,214,1080
43,11,M,White,O,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
44,11,M,White,O,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
45,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,NI,230,NI,224, , , , ,1080
46,11,F,Black, ,No,O,3, ,0, , , , ,9,13,1,0,648,9,19,1,665, , , , , , , , , , , , ,F,214,F,218,F,218,NI,228,1080
47,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,NI,230,NI,224, , , , ,1080
48,11,F,Black, ,No,O,3, ,0, , , , ,9,13,1,0,648,9,19,1,665, , , , , , , , , , , , ,F,214,F,218,F,218,NI,228,1080
49,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,32,1,0,671,9,31,2,682, , , , , , , , , , , , ,NI,232,NI,222, , , , ,1080
50,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,32,1,0,671,9,31,2,682, , , , , , , , , , , , ,NI,232,NI,222, , , , ,1080
51,11,M,Black, ,No,O,3, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,F,216,F,216,F,212,F,216,1080
52,11,M,Black, ,No,O,3, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,F,216,F,216,F,212,F,216,1080
53,11,M,Black, ,No,AF,1,L3,3, , , , ,9,8,1,0,639,9,11,1,650, , , , , , , , , , , , ,F,204,INC, ,F,208,F,214,1080
54,11,M,Black, ,No,AF,1,L3,3, , , , ,9,8,1,0,639,9,11,1,650, , , , , , , , , , , , ,F,204,INC, ,F,208,F,214,1080
55,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
56,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
57,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , ,F,200,F,200, , , , ,F,214,F,214,1080
58,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , ,F,200,F,200, , , , ,F,214,F,214,1080
59,11,F,Black, ,No,AF,1, ,0, , , , ,9,32,1,0,671,9,16,1,661, , , , , , , , , , , , ,F,216,F,212,F,214,F,218,1080
60,11,F,Black, ,No,AF,1, ,0, , , , ,9,32,1,0,671,9,16,1,661, , , , , , , , , , , , ,F,216,F,212,F,214,F,218,1080
61,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,A,260,NI,222, , , , ,1080
62,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,A,260,NI,222, , , , ,1080
63,11,F,Black, ,No,O,3, ,0, , , , ,9,76,2,1,714,9,78,3,731, , , , , , , , , , , , ,P,244,P,244, , , , ,1080
64,11,F,Black, ,No,O,3, ,0, , , , ,9,76,2,1,714,9,78,3,731, , , , , , , , , , , , ,P,244,P,244, , , , ,1080
65,11,M,Black, ,No,AF,1, ,0, , , , ,9,99,4,1,781,9,68,3,719, , , , , , , , , , , , ,P,256,P,256, , , , ,1080
66,11,M,Black, ,No,AF,1, ,0, , , , ,9,99,4,1,781,9,68,3,719, , , , , , , , , , , , ,P,256,P,256, , , , ,1080
67,11,F,Black, ,No,AF,1, ,0, , , , ,9,35,1,0,674,9,15,1,659, , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
68,11,F,Black, ,No,AF,1, ,0, , , , ,9,35,1,0,674,9,15,1,659, , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
69,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,21,1,0,660,9,5,1,635, , , , , , , , , , , , ,F,216,F,216,F,210,F,218,1080
70,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,21,1,0,660,9,5,1,635, , , , , , , , , , , , ,F,216,F,216,F,210,F,218,1080
71,11,F,Black, ,No,O,3, ,0, , , , ,9,95,3,1,752,9,78,3,731, , , , , , , , , , , , ,A,264,P,248, , , , ,1080
72,11,M,Black, ,No,O,3, ,0, , , , ,9, , , , , , , , , , , , , , , , ,F,200,F,208, , , , ,F,214,F,218,1080
73,11,F,Black, ,No,O,3, ,0, , , , ,9,95,3,1,752,9,78,3,731, , , , , , , , , , , , ,A,264,P,248, , , , ,1080
74,11,M,Black, ,No,O,3, ,0, , , , ,9, , , , , , , , , , , , , , , , ,F,200,F,208, , , , ,F,214,F,218,1080
75,11,M,Black, ,No,O,3, ,0, , , , ,9,18,1,0,656,9,7,1,642, , , , , , , , , , , , ,F,216,F,216,F,214,F,218,1080
76,11,M,Black, ,No,O,3, ,0, , , , ,9,18,1,0,656,9,7,1,642, , , , , , , , , , , , ,F,216,F,216,F,214,F,218,1080
77,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,NI,220,F,214, , ,1080
78,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,NI,220,F,214, , ,1080
79,11,F,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,INC, ,F,214,F,214,1080
80,11,F,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,INC, ,F,214,F,214,1080
81,11,M,Black, ,No,O,3, ,0, , , , ,9,43,1,0,681,9,26,2,675, , , , , , , , , , , , ,NI,220,F,218, , ,NI,228,1080
82,11,M,Black, ,No,O,3, ,0, , , , ,9,43,1,0,681,9,26,2,675, , , , , , , , , , , , ,NI,220,F,218, , ,NI,228,1080
83,11,F,Hispanic,S,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,212,LEP, ,F,204,F,214,1080
84,11,F,Hispanic,S,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,212,LEP, ,F,204,F,214,1080
85,11,M,Black,O,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
86,11,M,Black,O,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
87,11,M,Black, ,No,O,3, ,0, , , , ,9,64,2,1,700,9,37,2,688, , , , , , , , , , , , ,NI,222,NI,236, , , , ,1080
88,11,M,Black, ,No,O,3, ,0, , , , ,9,64,2,1,700,9,37,2,688, , , , , , , , , , , , ,NI,222,NI,236, , , , ,1080
89,11,F,Hispanic, ,No,DC,1, ,0, , , , ,9,54,2,1,690,9,42,2,693, , , , , , , , , , , , ,F,218,F,218,F,216,F,218,1080
90,11,F,Hispanic, ,No,DC,1, ,0, , , , ,9,54,2,1,690,9,42,2,693, , , , , , , , , , , , ,F,218,F,218,F,216,F,218,1080
91,11,F,Black, ,No,AF,1, ,0, , , , ,9,88,3,1,733,9,59,2,710, , , , , , , , , , , , ,F,216,NI,234,F,218, , ,1080
92,11,F,Black, ,No,AF,1, ,0, , , , ,9,88,3,1,733,9,59,2,710, , , , , , , , , , , , ,F,216,NI,234,F,218, , ,1080
93,11,M,Hispanic, ,No,AF,1, ,0, , , , ,9,95,3,1,752,9,47,2,698, , , , , , , , , , , , ,P,242,F,210, , ,NI,238,1080
94,11,M,Hispanic, ,No,AF,1, ,0, , , , ,9,95,3,1,752,9,47,2,698, , , , , , , , , , , , ,P,242,F,210, , ,NI,238,1080
95,11,M,Black, ,No,AF,1, ,0, , , , ,9,47,1,0,684,9,29,2,680, , , , , , , , , , , , ,F,210,NI,228,F,212, , ,1080
96,11,M,Black, ,No,AF,1, ,0, , , , ,9,47,1,0,684,9,29,2,680, , , , , , , , , , , , ,F,210,NI,228,F,212, , ,1080
97,11,F,Black, ,No,O,3, ,0, , , , ,9,67,2,1,703,9,44,2,695, , , , , , , , , , , , ,NI,230,NI,220, , , , ,1080
98,11,M,Black, ,No,O,3, ,0, , , , ,9,13,1,0,648,9,40,2,691, , , , , , , , , , , , ,F,218,F,218,F,212,NI,220,1080
99,11,F,Black, ,No,O,3, ,0, , , , ,9,67,2,1,703,9,44,2,695, , , , , , , , , , , , ,NI,230,NI,220, , , , ,1080
100,11,M,Black, ,No,O,3, ,0, , , , ,9,13,1,0,648,9,40,2,691, , , , , , , , , , , , ,F,218,F,218,F,212,NI,220,1080
101,11,M,Black, ,No,O,3, ,0, , , , ,9,67,2,1,703,9,51,2,702, , , , , , , , , , , , ,P,248,NI,236, , , , ,1080
102,11,M,Black, ,No,O,3, ,0, , , , ,9,67,2,1,703,9,51,2,702, , , , , , , , , , , , ,P,248,NI,236, , , , ,1080
103,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
104,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
105,11,F,Black, ,No,O,3, ,0, , , , ,9,28,1,0,667,9,40,2,691, , , , , , , , , , , , ,F,218,INC, ,F,218,NI,228,1080
106,11,F,Black, ,No,O,3, ,0, , , , ,9,28,1,0,667,9,40,2,691, , , , , , , , , , , , ,F,218,INC, ,F,218,NI,228,1080
107,11,M,Black, ,No,IH,2, ,0, , , , ,9,67,2,1,703,9,44,2,695, , , , , , , , , , , , ,NI,234,F,216, , ,NI,224,1080
108,11,M,Black, ,No,IH,2, ,0, , , , ,9,67,2,1,703,9,44,2,695, , , , , , , , , , , , ,NI,234,F,216, , ,NI,224,1080
109,11,F,Black, ,No,AF,1, ,0, , , , ,9,8,1,0,639,9,10,1,648, , , , , , , , , , , , ,F,218,NI,224,F,218, , ,1080
110,11,F,Black, ,No,AF,1, ,0, , , , ,9,8,1,0,639,9,10,1,648, , , , , , , , , , , , ,F,218,NI,224,F,218, , ,1080
111,11,F,Black, ,No,AF,1, ,0, , , , ,9,64,2,1,700,9,35,2,686, , , , , , , , , , , , ,NI,220,NI,222, , , , ,1080
112,11,F,Black, ,No,AF,1, ,0, , , , ,9,64,2,1,700,9,35,2,686, , , , , , , , , , , , ,NI,220,NI,222, , , , ,1080
113,11,F,Hispanic, ,No,O,3, ,0, , , , ,9,18,1,0,656,9,8,1,644, , , , , , , , , , , , ,F,216,F,216,F,216,NI,228,1080
114,11,M,Hispanic,S,Yes,AF,1,A4,4, , , , ,9,18,1,0,656,9,1,1,595, , , , , , , , , , , , ,F,214,F,206,F,208,F,206,1080
115,11,F,Hispanic, ,No,O,3, ,0, , , , ,9,18,1,0,656,9,8,1,644, , , , , , , , , , , , ,F,216,F,216,F,216,NI,228,1080
116,11,M,Hispanic,S,Yes,AF,1,A4,4, , , , ,9,18,1,0,656,9,1,1,595, , , , , , , , , , , , ,F,214,F,206,F,208,F,206,1080
117,11,F,Black, ,No,AF,1, ,0, , , , ,9,58,2,1,694,9,42,2,693, , , , , , , , , , , , ,NI,228,NI,228, , , , ,1080
118,11,F,Black, ,No,AF,1, ,0, , , , ,9,58,2,1,694,9,42,2,693, , , , , , , , , , , , ,NI,228,NI,228, , , , ,1080
119,11,F,Black, ,No,O,3, ,0, , , , ,9,58,2,1,694,9,40,2,691, , , , , , , , , , , , ,NI,220,F,218, , ,NI,238,1080
120,11,F,Black, ,No,O,3, ,0, , , , ,9,58,2,1,694,9,40,2,691, , , , , , , , , , , , ,NI,220,F,218, , ,NI,238,1080
121,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,33,2,684, , , , , , , , , , , , ,F,218,NI,230,NI,220, , ,1080
122,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,33,2,684, , , , , , , , , , , , ,F,218,NI,230,NI,220, , ,1080
123,11,M,Black, ,No,AF,1, ,0, , , , ,9,71,2,1,707,9,54,2,705, , , , , , , , , , , , ,P,240,NI,226, , , , ,1080
124,11,M,Black, ,No,AF,1, ,0, , , , ,9,71,2,1,707,9,54,2,705, , , , , , , , , , , , ,P,240,NI,226, , , , ,1080
125,11,M,Black, ,No,O,3, ,0, , , , ,9,18,1,0,656,9,15,1,659, , , , , , , , , , , , , , , , , , , , ,1080
126,11,M,Black, ,No,O,3, ,0, , , , ,9,18,1,0,656,9,15,1,659, , , , , , , , , , , , , , , , , , , , ,1080
127,11,F,Black,N,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,F,212,1080
128,11,F,Black,N,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,F,212,1080
129,11,M,Black, ,No,AF,1, ,0, , , , ,9,32,1,0,671,9,31,2,682, , , , , , , , , , , , ,F,214,F,216,F,214,NI,220,1080
130,11,M,Black, ,No,AF,1, ,0, , , , ,9,32,1,0,671,9,31,2,682, , , , , , , , , , , , ,F,214,F,216,F,214,NI,220,1080
131,11,M,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,LEP, ,NI,220,F,218,1080
132,11,M,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,LEP, ,NI,220,F,218,1080
133,11,F,Hispanic,S,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
134,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,35,1,0,674,9,11,1,650, , , , , , , , , , , , ,NI,220,NI,234, , , , ,1080
135,11,F,Hispanic,S,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
136,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,35,1,0,674,9,11,1,650, , , , , , , , , , , , ,NI,220,NI,234, , , , ,1080
137,11,M,Asian,O,Yes,AF,1, ,0, , , , , , , , , ,9,3,1,628, , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
138,11,M,Asian,O,Yes,AF,1, ,0, , , , , , , , , ,9,3,1,628, , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
139,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , ,LEP, ,LEP, , , , , , , , , ,1080
140,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,11,1,650, , , , , , , , , , , , ,INC, ,INC, ,F,216,NI,220,1080
141,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , ,LEP, ,LEP, , , , , , , , , ,1080
142,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,11,1,650, , , , , , , , , , , , ,INC, ,INC, ,F,216,NI,220,1080
143,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,F,216,1080
144,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,F,216,1080
145,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,88,3,1,733,9,65,3,716, , , , , , , , , , , , ,P,244,P,248, , , , ,1080
146,11,F,Hispanic, ,No,O,3,L2,2, , , , ,9,21,1,0,660,9,10,1,648, , , , , , , , , , , , ,F,212,F,216,F,216,F,218,1080
147,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,88,3,1,733,9,65,3,716, , , , , , , , , , , , ,P,244,P,248, , , , ,1080
148,11,F,Hispanic, ,No,O,3,L2,2, , , , ,9,21,1,0,660,9,10,1,648, , , , , , , , , , , , ,F,212,F,216,F,216,F,218,1080
149,11,F,Black, ,No,AF,1, ,0, , , , ,9,85,3,1,728,9,59,2,710, , , , , , , , , , , , ,NI,230,P,246, , , , ,1080
150,11,F,Black, ,No,AF,1, ,0, , , , ,9,85,3,1,728,9,59,2,710, , , , , , , , , , , , ,NI,230,P,246, , , , ,1080
151,11,M,Black, ,No,O,3, ,0, , , , ,9,47,1,0,684,9,27,2,677, , , , , , , , , , , , ,F,216,F,216,F,216,NI,220,1080
152,11,M,Black, ,No,O,3, ,0, , , , ,9,47,1,0,684,9,27,2,677, , , , , , , , , , , , ,F,216,F,216,F,216,NI,220,1080
153,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
154,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
155,11,M,Black, ,No,O,3, ,0, , , , ,9,28,1,0,667,9,3,1,626, , , , , , , , , , , , ,F,214,NI,224,F,216, , ,1080
156,11,M,Black, ,No,O,3, ,0, , , , ,9,28,1,0,667,9,3,1,626, , , , , , , , , , , , ,F,214,NI,224,F,216, , ,1080
157,11,F,Black, ,No,AF,1, ,0, , , , ,9,18,1,0,656,9,6,1,640, , , , , , , , , , , , ,F,218,F,216,F,218,F,216,1080
158,11,F,Black, ,No,AF,1, ,0, , , , ,9,18,1,0,656,9,6,1,640, , , , , , , , , , , , ,F,218,F,216,F,218,F,216,1080
159,11,F,Black, ,No,O,3, ,0, , , , ,9,67,2,1,703,9,54,2,705, , , , , , , , , , , , ,NI,224,NI,234, , , , ,1080
160,11,F,Black, ,No,O,3, ,0, , , , ,9,67,2,1,703,9,54,2,705, , , , , , , , , , , , ,NI,224,NI,234, , , , ,1080
161,11,M,Black, ,No,O,3, ,0, , , , ,9,58,2,1,694,9,26,2,675, , , , , , , , , , , , ,F,218,NI,228,NI,232, , ,1080
162,11,M,Black, ,No,O,3, ,0, , , , ,9,58,2,1,694,9,26,2,675, , , , , , , , , , , , ,F,218,NI,228,NI,232, , ,1080
163,11,F,Black, ,No,AF,1, ,0, , , , ,9,47,1,0,684,9,47,2,698, , , , , , , , , , , , ,NI,232,P,244, , , , ,1080
164,11,F,Black, ,No,AF,1, ,0, , , , ,9,47,1,0,684,9,47,2,698, , , , , , , , , , , , ,NI,232,P,244, , , , ,1080
165,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
166,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
167,11,F,Black, ,No,AF,1,R2,2, , , , ,9,13,1,0,648,9,17,1,663, , , , , , , , , , , , ,F,216,NI,220, , , , ,1080
168,11,F,Black, ,No,AF,1,R2,2, , , , ,9,13,1,0,648,9,17,1,663, , , , , , , , , , , , ,F,216,NI,220, , , , ,1080
169,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
170,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
171,11,F,Hispanic, ,No,AF,1,R1, , , , , ,9,32,1,0,671,9,7,1,642, , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
172,11,F,Hispanic, ,No,AF,1,R1, , , , , ,9,32,1,0,671,9,7,1,642, , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
173,11,M,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
174,11,M,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
175,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , ,LEP, ,LEP, , , , , , , , , ,1080
176,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , ,LEP, ,LEP, , , , , , , , , ,1080
177,11,F,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
178,11,F,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,NI,220,NI,220, , , , ,1080
179,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
180,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
181,11,M,Black, ,No,AR,2, ,0, , , , ,9,11,1,0,644,9,2,1,621, , , , , , , , , , , , ,F,214,F,214,F,206,F,214,1080
182,11,M,Black, ,No,AR,2, ,0, , , , ,9,11,1,0,644,9,2,1,621, , , , , , , , , , , , ,F,214,F,214,F,206,F,214,1080
183,11,M,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,NI,224,F,216, , ,1080
184,11,M,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,NI,224,F,216, , ,1080
185,11,F,Black, ,No,AF,1,R2,2, , , , ,9,28,1,0,667,9,19,1,665, , , , , , , , , , , , ,F,206,F,216,F,212,F,216,1080
186,11,F,Black, ,No,AF,1,R2,2, , , , ,9,28,1,0,667,9,19,1,665, , , , , , , , , , , , ,F,206,F,216,F,212,F,216,1080
187,11,M,Hispanic, ,No,AF,1, ,0, , , , ,9,54,2,1,690,9,54,2,705, , , , , , , , , , , , ,F,206,NI,220,F,218, , ,1080
188,11,M,Hispanic, ,No,AF,1, ,0, , , , ,9,54,2,1,690,9,54,2,705, , , , , , , , , , , , ,F,206,NI,220,F,218, , ,1080
189,11,F,Hispanic,S,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
190,11,F,Hispanic,S,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
191,11,M,Black, ,No,O,3, ,0, , , , ,9,58,2,1,694,9,81,3,735, , , , , , , , , , , , ,F,218,NI,220,F,218, , ,1080
