seqno,grade,sex,race,bilingual,bil,lunch,income,sn,sped,absent1,absent2,present1,present2,v15,v16,v17,passfail,sat_00_m,v19,v20,v21,sat_00_r,v23,v24,sat1m,sat_01_m,v27,v28,sat1r,sat_01_r,spr00plm,mcas00m,spr00ple,mcas00e,spr01plm,mcas01m,spr01ple,mcas01e,fa01plm,mcasfama,fa01ple,mcasfael,sch
15370,7,F,Black, ,No,AF,1, ,0, , , , ,5,34,2,1,632,5,43,2,647,6,32,1,639,6,36,2,649, , , , ,W,216, , , , , , ,2200
15371,6,F,Black, ,No,O,3,R3,3, , , , , , , , , , , , , ,5,65,2,660,5,23,2,624,NI,226,NI,224, , , , , , , , ,2030
15372,7,F,Hispanic, ,No,O,3, ,0, , , , ,5,22,1,0,618,5,14,1,611, , , , , , , , , , , , , , , , , , , , ,2140
15373,11,F,Black, ,No,AR,2,R3,3, , , , ,9,25,1,0,664,9,31,2,682,9,25,1,664, , , , , , , , ,NI,220,NI,222, , , , ,1210
15374,6,F,Asian, ,No,NI,2,T4,4, , , , , , , , , , , , , ,5,54,2,649,5,52,2,656,NI,222,NI,226, , , , , , , , ,2190
15375,7,F,Black, ,No,AF,1, ,0, , , , ,5,28,1,0,626,5,24,2,626,6,30,1,637,6,19,1,629, , , , ,W,204, , , , , , ,2030
15376,8,M,Asian, ,No,DC,1,O4,4, , , , ,6, , , , ,6, , , ,7, , , ,7, , , , , , , , , ,ALT, , , , , ,2090
15377,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,45,2,642,5,59,2,663,F,212,NI,224, , , , , , , , ,2180
15378,6,F,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,82,3,680,5,61,2,665,P,254,NI,234, , , , , , , , ,2170
15379,6,M,Black, ,No,O,3, ,0, , , , , , , , , , , , , ,5,99,4,732,5,87,3,698,A,262,NI,236, , , , , , , , ,2200
15380,6,M,White, ,No,IH,2, ,0, , , , , , , , , , , , , ,5,71,2,666,5,95,4,716,NI,234,NI,228, , , , , , , , ,2130
15381,6,F,White, ,No,AR,2, ,0, , , , , , , , , , , , , ,5,82,3,680,5,91,3,706,A,272,A,262, , , , , , , , ,2130
15382,6,F,Black, ,No,O,2, ,0, , , , , , , , , , , , , ,5,56,2,651,5,45,2,649,NI,220,NI,228, , , , , , , , ,2110
15383,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,20,1,616,5,18,1,616,F,216,F,214, , , , , , , , ,2030
15384,6,M,White, ,No,AR,2,R1, , , , , , , , , , , , , , ,5,65,2,660,5,30,2,634,NI,220,F,218, , , , , , , , ,2090
15385,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,97,4,716,5,64,2,668,P,254,NI,230, , , , , , , , ,2180
15386,6,M,Black, ,No,DC,1, ,0, , , , , , , , , , , , , ,5,61,2,656,5,64,2,668,NI,230,NI,236, , , , , , , , ,2130
15387,6,M,Black, ,No,IH,2, ,0, , , , , , , , , , , , , ,5,45,2,642,5,47,2,651,NI,226,NI,222, , , , , , , , ,2950
15388,6,M,Black, ,No,AF,1,U4,4, , , , , , , , , , , , , ,5,13,1,605,5,2,1,577,F,212,F,216, , , , , , , , ,2030
15389,6,M,Black, ,No,AR,2, ,0, , , , , , , , , , , , , ,5,61,2,656,5,52,2,656,NI,220,NI,220, , , , , , , , ,2120
15390,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,73,3,668,5,59,2,663,NI,230,NI,232, , , , , , , , ,2190
15391,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,63,2,658,5,56,2,660,P,250,NI,234, , , , , , , , ,2120
15392,6,M,Hispanic, ,No,O,3,R3,3, , , , , , , , , , , , , ,5,6,1,590,5,19,1,618,F,206,F,210, , , , , , , , ,2100
15393,6,M,Black, ,No,NI,2, ,0, , , , , , , , , , , , , ,5, , , ,5, , , ,F,218,F,218, , , , , , , , ,2030
15394,6,F,Black, ,No,IH,2, ,0, , , , , , , , , , , , , ,5,78,3,674,5,54,2,658,F,214,F,216, , , , , , , , ,2180
15395,6,F,Black, ,No,AF,1,L4,4, , , , , , , , , , , , , ,5,20,1,616,5,18,1,616,F,206,F,216, , , , , , , , ,2950
15396,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,30,1,628,5,66,3,670,F,200,NI,220,W,200,W,208, , , , ,2060
15397,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,68,2,663,5,74,3,679,F,218,NI,228, , , , , , , , ,2060
15398,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,28,1,626,5,36,2,640,F,212,F,214, , , , , , , , ,2060
15399,8,F,Hispanic, ,No,AF,1, ,0, , , , ,6,13,1,0,614,6,36,2,649, , , , , , , , , , , , , , , , , , , , ,2050
15400,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,23,1,620,5,19,1,618,NI,220,NI,220, , , , , , , , ,2030
15401,6,M,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , ,5,50,2,646,5,29,2,632,NI,220,F,216, , , , , , , , ,2190
15402,6,M,Black, ,No,DC,1,Q4,4, , , , , , , , , , , , , , , , , , , , , ,F,200,F,208, , , , , , , , ,2060
15403,6,M,Black, ,No,DC,1,S2,2, , , , , , , , , , , , , ,5,75,3,671,5,45,2,649,NI,230,NI,224, , , , , , , , ,2100
15404,11,M,Black, ,No,O,3, ,0, , , , ,9,88,3,1,733,9,86,3,743, , , , , , , , , , , , ,P,254,P,252, , , , ,1010
15405,11,M,White, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , ,P,256,NI,236,A,264,P,252, , , , ,1020
15406,11,M,Black, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1050
15407,11,M,White, ,No,O,3, ,0, , , , ,9,95,3,1,752,9,99,4,796, , , , , , , , , , , , ,A,260,P,258, , , , ,1010
15408,6,F,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,10,1,601,5,38,2,642,F,206,NI,228, , , , , , , , ,2110
15409,11,F,Black, ,No,AF,1, ,0, , , , ,9,99,4,1,781,9,51,2,702, , , , , , , , , , , , ,P,250,P,242, , , , ,1030
