firmid,year,kod2,kod3,kod4,r,ec,cc,h,h_interp,c1,c2,c3,c4,c5,k1,k2,k3,f1,f2,f3,f4,f5,lagk1,lagk2,lagk3,lagf1,lagf2,lagf3,lagf4,lagf5,lc,va,lc_was_fixed,lagCA,lagfinLong,l_va,l_lagk1,l_lagCA,l_h_interp,BSsanity,KLratio,h10_KL_100,h10_KL_200,h10_KL_201,h50_KL_100,h50_KL_200,h50_KL_201,h51_KL_100,h51_KL_200,h51_KL_201,y19c_l_va,y19c_l_lagk1,y19c_l_lagCA,y19c_l_h_interp,y19_F_sq,y19_C_sq,y19_l_h_interp_sq,y19_FC,y19_Fh,y19_Ch,uhatOLS_998,y19_h_CupPhi,Depvar,bound,y19resCopMLE,elast_F,elast_C,elast_h,elastSum
"84150043",2019,"55","551","5510",554179,509569,44610,1,1,22,0,0,0,0,5271721,0,203163,0.0541138844831551,1.09115748404614e-021,30000,0,5474884,4711854,0,812051,4475424,906457,30000,0,5523905,7436.46048109966,52046.4604810997,"FALSE",812051,0.979720143630276,10.8598920694465,15.3655920191137,13.6073184250533,0,0,5523.905,0,0,1,0,0,0,0,0,0,-2.04745560230444,0.443853853483738,-0.131968126000199,-1.68855117710627,0.0985031216261817,0.00870779314000223,1.42560253885349,-0.0585745612622159,-0.749469946763121,0.222834934498145,-1.93904100834253,-0.475213740061825,-2.04745560230444,0.999999,-1.9155875967044,0.620019865637334,0.39367384138996,-0.0668245897118451,0.946869117315449
"84279244",2019,"55","551","5510",871659,674148,197511,3,3,15,0,0,0,0,1466720,6564,440688,0.564764523732688,0.131364792780124,0,16783,1913972,1414920,3654,454957,1395501,52385,369241,0,1873531,22309.381443299,219820.381443299,"FALSE",458611,0.969894279838444,12.3005660438743,14.1625835503587,13.0359576351628,1.09861228866811,0,624.510333333333,0,0,1,0,0,0,0,0,0,-0.606781627876636,-0.759154615271202,-0.703328915890692,-0.589938888438164,0.288157864943783,0.247335781963988,0.174013946045828,0.53393539255211,0.447854829885794,0.414921078846974,0.29446614483984,-0.154929525270777,-0.606781627876636,0.999999,0.336396313775087,0.419287317579975,0.430642110139847,0.155043196734037,1.00497262445386
"90126674",2019,"55","551","5510",461587,460621,966,9,9,9,0,0,0,0,4742776,0,231064,0.0980664115005057,1.49210541775216e-014,363312,758558,4973840,4740990,10851,272713,3345634,0,363312,744201,5024554,66928.1443298969,67894.1443298969,"FALSE",283564,0.738164223133038,11.1257050702093,15.3717565326224,12.5551931262314,2.19722457733622,0,558.283777777778,0,0,1,0,0,0,0,0,0,-1.78164260154162,0.45001836699246,-1.18409342482203,0.508673400229946,0.10125826531528,0.701038619353377,0.129374314050748,-0.532863789404917,0.228912372903982,-0.602316828594142,-1.38108632284322,0.288749901157031,-1.78164260154162,0.999999,-1.42097421275652,0.473980587974129,0.384723820522277,0.17580923838734,1.03451364688375
"94000061",2019,"55","551","5510",406534,302716,103818,1,1,39,1,0,0,0,957163,24974,559423,0.473332042904761,0.00471963249311291,0,119983,1541560,837908,19000,456073,1068438,36818,0,91696,1312981,7436.46048109966,111254.4604811,"FALSE",475073,0.841791313050227,11.6195752934369,13.6386635882345,13.0712237554191,0,0,1312.981,0,0,1,0,0,0,0,0,0,-1.28777237831408,-1.2830745773954,-0.668062795634359,-1.68855117710627,0.823140185579194,0.223153949455398,1.42560253885349,0.857174389182146,2.16653708797614,1.12805821994931,0.0553585900910378,-0.475213740061825,-1.28777237831408,0.999999,-0.0994900439493542,0.45328283111262,0.454746062902889,0.0798517784832396,0.987880672498749
"94001950",2019,"55","551","5510",2590912,2557436,33476,45,45,56,1,0,0,0,4725484,46757,466907,0.573180992307419,0.0383249966491239,959956,472988,5239148,4851224,44758,434705,1769825,147192,964261,411131,5330687,644089.100815296,677565.100815296,"FALSE",479463,0.540507818223055,13.4262609168839,15.3947416022074,13.0804220066162,3.80666248977032,0,118.459711111111,0,0,0,0,1,0,0,0,0,0.518913245132991,0.473003436577526,-0.658864544437298,2.11811131266405,0.111866125507075,0.217051243958284,2.24319776641771,-0.311645193757928,1.00187392994383,-1.39554844508588,-0.0709295804831703,1.27530247460215,0.518913245132991,0.999999,0.133162177587012,0.324637976037324,0.372772689713324,0.344564444697412,1.04197511044806
"94006735",2019,"55","551","5510",5613802,3756738,1857064,62,62,92,1,0,0,0,12588262,13918,4533271,0.547547336198907,0.154309045399959,250800,71429,17135451,8534949,14178,7448980,14705718,142857,250800,71429,15998107,887411.650012186,2744475.65001219,"FALSE",7463158,0.943822603511778,14.8251005946471,15.9596799387974,15.8254892070002,4.12713438504509,0,258.033983870968,0,0,0,0,0,0,0,0,1,1.91775292289618,1.03794177316747,2.08620265594678,2.43858320793882,0.538661562243019,2.17612076083969,2.97334403102059,2.16535688390009,2.53110737886444,5.08737876514918,-0.0310710542292088,1.52152505739255,1.91775292289618,0.999999,0.372160811589092,0.264590876463765,0.341509891538282,0.316421444236272,0.922522212238319
"94006888",2019,"55","551","5510",36139307,26343246,9796061,315,315,62,1,0,0,0,179713028,343734,17348081,0.559818787329465,0.138533358023884,4289077,1500000,197404843,182146000,362000,12804000,87896000,94619000,2866000,2154000,195312000,4508623.70570707,14304684.7057071,"FALSE",13166000,0.949153149832064,16.4760976433781,19.0203191212546,16.39314830701,5.75257263882563,0,620.038095238095,0,0,0,0,0,0,0,0,1,3.56874997162713,4.09858095562466,2.6538617559565,4.06402146171936,8.39918292490458,3.52149110986427,8.25813522065778,10.877067251824,16.6567209662529,10.7853511326435,-0.191115462344203,2.40855037041758,3.56874997162713,0.999999,0.347805752581588,0.438027251752849,0.22535151127627,0.234067499346161,0.89744626237528
"94008220",2019,"55","551","5510",1396168,1108347,287821,14,14,59,1,0,0,0,861974,1002,1196965,0.488373298446223,0.21128993999446,126168,0,2059941,922147,639,993483,1551934,0,151402,0,1916269,200383.275809203,488204.275809203,"FALSE",994122,0.888881467059165,13.0984891952173,13.7344599258388,13.8096152145257,2.63905732961526,0,136.876357142857,0,0,0,0,1,0,0,0,0,0.191141523466323,-1.18727823979108,0.0703286634722691,0.950506152508985,0.704814809340707,0.00247306045289784,0.451730972978717,-0.0834996917742151,-1.12851527166146,0.0668478273281257,0.285562754323986,0.584983876018925,0.191141523466323,0.999999,0.456082944307833,0.218831870877984,0.433612248605593,0.352439204070181,1.00488332355376
"94008519",2019,"55","551","5510",68466000,46799000,21667000,665,665,100,1,0,0,1,190016000,1285000,16318000,0.111963501867888,0.313055991378043,6668000,10616000,207619000,178585000,1367000,10194000,73354000,21632000,5715000,73621000,190146000,9518205.60093716,31185205.6009372,"FALSE",11561000,0.529598308668076,17.2554543608639,19.0005752363175,16.2631479226575,6.49978704065585,0,285.933834586466,0,0,0,0,0,0,0,0,1,4.34810668911299,4.07883707068753,2.523861371604,4.81123586354958,8.31845592460742,3.18493811153742,11.5739952673528,10.2944193237747,19.6242471960674,12.1428923456886,0.0990858742654792,2.87784611892719,4.34810668911299,0.999999,0.844597445654843,0.378226588886139,0.222218008029168,0.317089592494766,0.917534189410073
"94008697",2019,"55","551","5510",10635652,9201345,1434307,155,155,61,1,0,0,0,25545262,98534,1666216,0.481904663531224,0.216407375277986,1032426,2966809,27310012,25253761,129998,1637427,20833635,0,1054400,3178870,27021186,2218529.12503046,3652836.12503046,"FALSE",1767425,0.810032357573054,15.1110144443908,17.0444856530887,14.3850342430379,5.04342511691925,0,174.330232258065,0,0,0,0,0,0,0,1,0,2.20366677263983,2.12274748745875,0.645747691984402,3.35487393981297,2.25302844775621,0.208495040851591,5.62758957601811,1.37075929069217,7.12155022647881,2.16640210353285,-0.0293052734467585,2.01367140576634,2.20366677263983,0.999999,0.463617425838854,0.353959838960773,0.304421430138278,0.333360250886643,0.991741519985695
