firmid,year,kod2,kod3,kod4,r,ec,cc,h,h_interp,c1,c2,c3,c4,c5,k1,k2,k3,f1,f2,f3,f4,f5,lagk1,lagk2,lagk3,lagf1,lagf2,lagf3,lagf4,lagf5,lc,va,lc_was_fixed
"94006888",2019,"55","551","5510",36139307,26343246,9796061,315,315,62,1,0,0,0,179713028,343734,17348081,0.559818787329465,0.138533358023884,4289077,1500000,197404843,182146000,362000,12804000,87896000,94619000,2866000,2154000,195312000,4508623.70570707,14304684.7057071,"FALSE"
"94008220",2019,"55","551","5510",1396168,1108347,287821,14,14,59,1,0,0,0,861974,1002,1196965,0.488373298446223,0.21128993999446,126168,0,2059941,922147,639,993483,1551934,0,151402,0,1916269,200383.275809203,488204.275809203,"FALSE"
"94008519",2019,"55","551","5510",68466000,46799000,21667000,665,665,100,1,0,0,1,190016000,1285000,16318000,0.111963501867888,0.313055991378043,6668000,10616000,207619000,178585000,1367000,10194000,73354000,21632000,5715000,73621000,190146000,9518205.60093716,31185205.6009372,"FALSE"
"94008697",2019,"55","551","5510",10635652,9201345,1434307,155,155,61,1,0,0,0,25545262,98534,1666216,0.481904663531224,0.216407375277986,1032426,2966809,27310012,25253761,129998,1637427,20833635,0,1054400,3178870,27021186,2218529.12503046,3652836.12503046,"FALSE"
"94008753",2019,"55","551","5510",20000,11184,8816,NA,NA,41,0,0,0,0,555634,0,76045,586396,0,20823,0,631679,559477,0,52193,584008,0,10000,0,611670,NA,NA,NA
"94009344",2019,"55","551","5510",5116925,3745216,1371709,113,113,92,1,0,0,0,7171045,98913,5516302,0.561125966139666,0.136694817469666,112198,328480,12786260,7311602,100412,5755422,10092276,1263960,95384,328480,13167436,1617379.29760286,2989088.29760286,"FALSE"
"94010830",2019,"55","551","5510",3841528,1859588,1981940,24,24,57,1,0,0,0,6273887,2020,2073351,0.0191749671866086,0.203024953091741,115109,0,8349258,6036944,2313,1760188,6559309,0,111429,0,7799445,343514.187101491,2325454.18710149,"FALSE"
"94010853",2019,"55","551","5510",276805,234139,42666,NA,NA,92,0,0,0,0,696584,136,34335,479152,0,136629,0,731055,718621,95,21103,540994,0,94150,0,739819,NA,NA,NA
"94011014",2019,"55","551","5510",1866050,1613668,252382,33,33,55,1,0,0,0,2088301,7179,608496,0.435729586722733,0.24885490173428,427872,181051,2703976,1969546,7223,682938,1919577,0,427872,216027,2659707,472332.007264551,724714.007264551,"FALSE"
"94011063",2019,"55","551","5510",96109,87637,8472,NA,NA,90,1,0,0,0,1006967,0,104701,1076932,0,0,0,1111668,1006967,0,79160,1070778,0,0,0,1086127,NA,NA,NA
"94011376",2019,"55","551","5510",309498,268068,41430,NA,NA,38,0,0,0,0,505479,0,383377,826777,0,27288,0,888856,526474,0,329637,819423,0,34345,0,856111,NA,NA,NA
"94011801",2019,"55","551","5510",831720,923413,-91693,NA,NA,39,0,0,0,0,2472251,2392,480041,1090148,401437,0,1230498,2954684,2498216,1184,460091,1224989,401437,0,1230498,2959491,NA,NA,NA
"94011850",2019,"55","551","5510",701058,484249,216809,NA,NA,57,1,0,0,0,7000217,0,689453,7567841,0,0,0,7689670,4641643,0,1411457,5731980,0,19147,0,6053100,NA,NA,NA
"94012115",2019,"55","551","5510",0,5246,-5246,NA,NA,38,1,0,0,0,2247748,0,79,630759,0,0,559568,2247827,2247748,0,6,681607,0,0,513968,2247754,NA,NA,NA
"94012465",2019,"55","551","5510",11657140,9628626,2028514,15,15,42,0,0,0,0,41964922,172162,3515405,0.53346663857612,0.0158849095361064,5872751,3800000,45652489,43550948,179272,2896303,13436110,14900000,5889255,3222046,46626523,214696.366938432,2243210.36693843,"FALSE"
"94012975",2019,"55","551","5510",2400,5588,-3188,NA,NA,38,0,0,0,0,306621,0,16723,323302,0,0,0,323344,306621,0,20789,326490,0,0,0,327410,NA,NA,NA
"94013290",2019,"55","551","5510",11006439,7241707,3764732,110,110,56,1,0,0,0,5655484,79344,4049840,0.0206324842847284,0.207306873786917,0,0,9784668,4871987,63259,4689742,7431586,0,0,1392,9624988,1574440.02421517,5339172.02421517,"FALSE"
"94013529",2019,"55","551","5510",1589848,1333237,256611,32,32,90,1,0,0,0,2256373,81562,498394,0.442085021871555,0.24476943395475,70000,286452,2836329,2419921,46133,527515,1854276,530002,52000,333506,2993569,458018.916135322,714629.916135322,"FALSE"
"94014077",2019,"55","551","5510",21977589,15676576,6301013,45,45,57,1,0,0,0,77081666,62787,3182834,0.540000391676121,0.163008316081787,1136482,14385329,80327287,72504139,60939,10407510,42620906,14944296,1015445,12409895,82972588,644089.100815296,6945102.1008153,"FALSE"
"94014089",2019,"55","551","5510",9837977,8823684,1014293,155,155,59,0,0,0,0,30585931,60460,9730251,0.502673903747203,0.199368358328959,327471,0,40376642,27072208,0,1679553,28665422,0,0,0,28751761,2218529.12503046,3232822.12503046,"FALSE"
